busid,latitude,longitude,zip,fips
3005400,33.2459,-96.6313,75071,48085
3005401,32.4031,-97.7006,76049,48221
3005402,32.4031,-97.7006,76049,48221
3005403,32.4031,-97.7006,76049,48221
3005404,32.4031,-97.7006,76049,48221
3005405,32.4031,-97.7006,76049,48221
3005406,32.4031,-97.7006,76049,48221
3005407,31.8171,-97.5466,76634,48035
3005408,33.1742,-96.356,75442,48085
3005409,32.6892,-97.1891,76016,48439
3005410,31.0096,-97.7464,76549,48027
3005411,31.0096,-97.7464,76549,48027
3005412,33.0121,-96.5349,75098,48085
3005413,32.6581,-98.3103,-1,48363
3005414,32.6581,-98.3103,-1,48363
3005415,32.6581,-98.3103,-1,48363
3005416,32.6581,-98.3103,-1,48363
3005417,32.6581,-98.3103,-1,48363
3005418,32.6581,-98.3103,-1,48363
3005419,32.6581,-98.3103,-1,48363
3005420,32.9754,-97.3105,76177,48439
3005421,33.0662,-96.309,75173,48085
3005422,33.0196,-96.962,75057,48121
3005423,33.0196,-96.962,75057,48121
3005424,33.0196,-96.962,75057,48121
3005425,32.8136,-96.878,75247,48113
3005426,32.3667,-96.245,75143,48257
3005427,32.3608,-96.9155,75167,48139
3005428,32.8172,-97.1806,76053,48439
3005429,32.8165,-97.3595,76106,48439
3005430,32.755,-97.7911,76086,48367
3005431,32.9439,-96.4529,75087,48397
3005432,32.8484,-97.9032,76088,48367
3005433,32.7474,-97.2177,76112,48439
3005434,33.0008,-97.4444,76003,48497
3005435,32.6005,-98.1728,76472,48363
3005436,32.9303,-96.7875,75240,48113
3005437,31.6966,-97.0737,76640,48309
3005438,32.7811,-97.3546,76164,48439
3005439,32.3722,-96.7849,-1,48139
3005440,32.7228,-97.0802,76010,48439
3005441,32.6529,-97.3795,76133,48439
3005442,32.7491,-97.273,76103,48439
3005443,32.7287,-97.3178,76104,48439
3005444,32.4302,-97.0537,76084,48139
3005445,32.4302,-97.0537,76084,48139
3005446,31.4535,-97.1953,76643,48309
3005447,32.6396,-97.2175,76060,48439
3005448,32.665,-97.0247,75052,48113
3005449,32.665,-97.0247,75052,48113
3005450,33.2851,-96.5662,75454,48085
3005451,31.219,-97.9682,-1,48099
3005452,31.219,-97.9682,-1,48099
3005453,32.3926,-97.3275,76059,48251
3005454,33.0685,-96.0843,75402,48231
3005455,33.3724,-97.67,76225,48497
3005456,32.117,-98.9851,76471,48133
3005457,32.8918,-97.1496,76034,48439
3005458,30.8843,-97.3788,76534,48027
3005459,30.8843,-97.3788,76534,48027
3005460,30.8843,-97.3788,76534,48027
3005461,31.1379,-97.3736,76504,48027
3005462,32.6609,-96.8409,75232,48113
3005463,32.8259,-96.9669,75061,48113
3005464,33.1463,-96.8563,75034,48121
3005465,33.1463,-96.8563,75034,48121
3005466,31.468,-97.7353,76599,48099
3005467,32.7877,-96.7994,75201,48113
3005468,32.7039,-96.8719,75233,48113
3005469,32.7086,-97.3635,76129,48439
3005470,31.5297,-97.2604,76712,48309
3005471,32.4554,-98.4182,-1,48143
3005472,33.1877,-99.265,-1,48447
3005473,32.2662,-97.6551,76070,48425
3005474,31.8817,-97.0854,76621,48217
3005475,32.4149,-97.1964,76007,48251
3005476,32.0432,-96.3509,75109,48349
3005477,31.0509,-97.6446,76548,48027
3005478,32.7966,-96.9549,75060,48113
3005479,32.5327,-97.3065,76028,48251
3005480,32.5327,-97.3065,76028,48251
3005481,32.6359,-97.5035,76126,48439
3005482,32.8359,-96.7955,75205,48113
3005483,32.8866,-97.2084,76182,48439
3005484,32.0069,-99.2908,76828,48083
3005485,32.1229,-96.7237,76626,48349
3006001,29.4878,-98.2915,78109,48029
3006002,29.6523,-98.6562,78255,48029
3006003,30.1456,-97.2708,78602,48021
3006004,30.1456,-97.2708,78602,48021
3006005,30.1456,-97.2708,78602,48021
3006006,30.1456,-97.2708,78602,48021
3006007,30.1456,-97.2708,78602,48021
3006008,30.1456,-97.2708,78602,48021
3006009,30.1456,-97.2708,78602,48021
3006010,30.1456,-97.2708,78602,48021
3006011,29.6005,-98.0476,78123,48187
3006012,30.3039,-97.2189,78650,48021
3006013,29.3714,-98.5934,78242,48029
3006014,29.7007,-97.3013,78959,48177
3006015,29.283,-98.7373,78002,48029
3006016,29.4606,-98.5713,78228,48029
3006017,29.575,-98.2206,78108,48187
3006018,30.2424,-97.6592,78742,48453
3006019,30.2933,-97.7661,78703,48453
